Initial Investment:		50000
Recurring Monthly Investment:	4000
Start Month:			12
Start Year:			2023
End Month:			8
End Year:			2043
Annual Rate of Return (%):	12
--- Output ---
2023.12) 50000/50000/0/0%
2024.01) 54000/54500/500/0.92%
2024.02) 58000/59045/1045/1.77%
2024.03) 62000/63635/1635/2.57%
2024.04) 66000/68272/2272/3.33%
2024.05) 70000/72955/2955/4.05%
2024.06) 74000/77684/3684/4.74%
2024.07) 78000/82461/4461/5.41%
2024.08) 82000/87286/5286/6.06%
2024.09) 86000/92158/6158/6.68%
2024.10) 90000/97080/7080/7.29%
2024.11) 94000/102051/8051/7.89%
2024.12) 98000/107071/9071/8.47%
2025.01) 102000/112142/10142/9.04%
2025.02) 106000/117263/11263/9.61%
2025.03) 110000/122436/12436/10.16%
2025.04) 114000/127660/13660/10.7%
2025.05) 118000/132937/14937/11.24%
2025.06) 122000/138266/16266/11.76%
2025.07) 126000/143649/17649/12.29%
2025.08) 130000/149086/19086/12.8%
2025.09) 134000/154576/20576/13.31%
2025.10) 138000/160122/22122/13.82%
2025.11) 142000/165723/23723/14.32%
2025.12) 146000/171381/25381/14.81%
2026.01) 150000/177094/27094/15.3%
2026.02) 154000/182865/28865/15.79%
2026.03) 158000/188694/30694/16.27%
2026.04) 162000/194581/32581/16.74%
2026.05) 166000/200527/34527/17.22%
2026.06) 170000/206532/36532/17.69%
2026.07) 174000/212597/38597/18.16%
2026.08) 178000/218723/40723/18.62%
2026.09) 182000/224911/42911/19.08%
2026.10) 186000/231160/45160/19.54%
2026.11) 190000/237471/47471/19.99%
2026.12) 194000/243846/49846/20.44%
2027.01) 198000/250284/52284/20.89%
2027.02) 202000/256787/54787/21.34%
2027.03) 206000/263355/57355/21.78%
2027.04) 210000/269989/59989/22.22%
2027.05) 214000/276689/62689/22.66%
2027.06) 218000/283455/65455/23.09%
2027.07) 222000/290290/68290/23.52%
2027.08) 226000/297193/71193/23.96%
2027.09) 230000/304165/74165/24.38%
2027.10) 234000/311206/77206/24.81%
2027.11) 238000/318319/80319/25.23%
2027.12) 242000/325502/83502/25.65%
2028.01) 246000/332757/86757/26.07%
2028.02) 250000/340084/90084/26.49%
2028.03) 254000/347485/93485/26.9%
2028.04) 258000/354960/96960/27.32%
2028.05) 262000/362510/100510/27.73%
