Initial Investment:		1
Recurring Monthly Investment:	1
Start Month:			1
Start Year:			1
End Month:			12
End Year:			10000
Annual Rate of Return (%):	1
--- Output ---
1.01) 1/1/0/0%
1.02) 2/2/0/0.04%
1.03) 3/3/0/0.08%
1.04) 4/4/0/0.12%
1.05) 5/5/0/0.17%
1.06) 6/6/0/0.21%
1.07) 7/7/0/0.25%
1.08) 8/8/0/0.29%
1.09) 9/9/0/0.33%
1.10) 10/10/0/0.37%
1.11) 11/11/0/0.42%
1.12) 12/12/0/0.46%
2.01) 13/13/0/0.5%
2.02) 14/14/0/0.54%
2.03) 15/15/0/0.58%
2.04) 16/16/0/0.62%
2.05) 17/17/0/0.67%
2.06) 18/18/0/0.71%
2.07) 19/19/0/0.75%
2.08) 20/20/0/0.79%
2.09) 21/21/0/0.83%
2.10) 22/22/0/0.87%
2.11) 23/23/0/0.91%
2.12) 24/24/0/0.96%
3.01) 25/25/0/1%
3.02) 26/26/0/1.04%
3.03) 27/27/0/1.08%
3.04) 28/28/0/1.12%
3.05) 29/29/0/1.16%
3.06) 30/30/0/1.2%
3.07) 31/31/0/1.24%
3.08) 32/32/0/1.29%
3.09) 33/33/0/1.33%
3.10) 34/34/0/1.37%
3.11) 35/36/1/1.41%
3.12) 36/37/1/1.45%
4.01) 37/38/1/1.49%
4.02) 38/39/1/1.53%
4.03) 39/40/1/1.57%
4.04) 40/41/1/1.62%
4.05) 41/42/1/1.66%
4.06) 42/43/1/1.7%
4.07) 43/44/1/1.74%
4.08) 44/45/1/1.78%
4.09) 45/46/1/1.82%
4.10) 46/47/1/1.86%
4.11) 47/48/1/1.9%
4.12) 48/49/1/1.95%
5.01) 49/50/1/1.99%
5.02) 50/51/1/2.03%
5.03) 51/52/1/2.07%
5.04) 52/53/1/2.11%
5.05) 53/54/1/2.15%
5.06) 54/55/1/2.19%
5.07) 55/56/1/2.23%
5.08) 56/57/1/2.27%
5.09) 57/58/1/2.31%
5.10) 58/59/1/2.36%
5.11) 59/60/1/2.4%
5.12) 60/61/1/2.44%
6.01) 61/63/2/2.48%
6.02) 62/64/2/2.52%
6.03) 63/65/2/2.56%
6.04) 64/66/2/2.6%
6.05) 65/67/2/2.64%
6.06) 66/68/2/2.68%
6.07) 67/69/2/2.72%
6.08) 68/70/2/2.76%
6.09) 69/71/2/2.81%
6.10) 70/72/2/2.85%
